LineaPedidoID,PedidoID,ProductoID,Cantidad,Nombre,PrecioVenta,TiempoFabricacionMedio,Caducidad,FechaPedido,ClienteID,DestinoEntregaID,PedidoID_destino,FechaPedido_destino,nombre_completo,distancia_km,latitude,longitude,Urgencia_1_Caducidad,Urgencia_2_Distancia,Urgencia_3_Combinada_60_40,Urgencia_4_Combinada_40_60,Urgencia_5_Tres_Factores,Urgencia_6_Logaritmica
1,1,5,80,Producto5,64.84,1,3,2025-12-12,68,11,1,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.3333333333333333,0.512521656953851,0.40500866278154035,0.4408463275056439,0.340423163752822,0.3255109195565034
1,1,5,80,Producto5,64.84,1,3,2025-12-12,68,11,42,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.3333333333333333,0.512521656953851,0.40500866278154035,0.4408463275056439,0.340423163752822,0.3255109195565034
2,1,28,10,Producto28,24.6,4,12,2025-12-12,68,11,1,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.08333333333333333,0.512521656953851,0.2550086627815404,0.3408463275056439,0.27542316375282194,0.18016336421173226
2,1,28,10,Producto28,24.6,4,12,2025-12-12,68,11,42,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.08333333333333333,0.512521656953851,0.2550086627815404,0.3408463275056439,0.27542316375282194,0.18016336421173226
3,1,29,60,Producto29,64.14,10,30,2025-12-12,68,11,1,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.03333333333333333,0.512521656953851,0.2250086627815404,0.3208463275056439,0.37042316375282197,0.1470863448163505
3,1,29,60,Producto29,64.14,10,30,2025-12-12,68,11,42,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.03333333333333333,0.512521656953851,0.2250086627815404,0.3208463275056439,0.37042316375282197,0.1470863448163505
4,1,3,10,Producto3,74.19,7,21,2025-12-12,68,11,1,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.047619047619047616,0.512521656953851,0.23358009135296898,0.32656061321992963,0.3175660208956791,0.15669747978468185
4,1,3,10,Producto3,74.19,7,21,2025-12-12,68,11,42,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.047619047619047616,0.512521656953851,0.23358009135296898,0.32656061321992963,0.3175660208956791,0.15669747978468185
5,1,38,10,Producto38,41.61,3,9,2025-12-12,68,11,1,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.1111111111111111,0.512521656953851,0.27167532944820705,0.35195743861675505,0.2693120526417109,0.19788582980073527
5,1,38,10,Producto38,41.61,3,9,2025-12-12,68,11,42,2025-12-12,Destino Guadalajara,455.56,40.6326979,-3.1646067,0.1111111111111111,0.512521656953851,0.27167532944820705,0.35195743861675505,0.2693120526417109,0.19788582980073527
