ruta,distancia
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",4731.88
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Pamplona -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",4823.08
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",4828.54
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",4835.9
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",4843.679999999999
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",4891.37
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Pamplona -> España, Guadalajara -> España, Palencia -> España, Lugo -> España, Sevilla -> España, Las Palmas",4903.23
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Palencia -> España, Pamplona -> España, Lugo -> España, Sevilla -> España, Las Palmas",4905.95
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Pamplona -> España, Palencia -> España, Lugo -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",4908.6900000000005
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Pamplona -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",4911.62
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",4923.83
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Guadalajara -> España, Sevilla -> España, Las Palmas",4972.0199999999995
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Pamplona -> España, Palencia -> España, Guadalajara -> España, Lugo -> España, Sevilla -> España, Las Palmas",4983.26
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Pamplona -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",4991.77
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Lugo -> España, Pamplona -> España, Palencia -> España, Sevilla -> España, Las Palmas",4994.51
"Mataró -> España, Islas Baleares, Palma -> España, Castellón -> España, Guadalajara -> España, Pamplona -> España, Lugo -> España, Palencia -> España, Sevilla -> España, Las Palmas",4995.389999999999
"Mataró -> España, Castellón -> España, Islas Baleares, Palma -> España, Guadalajara -> España, Lugo -> España, Palencia -> España, Pamplona -> España, Sevilla -> España, Las Palmas",5027.12
