fecha,num_expediciones,camiones,total_productos,peso_total_kg,total_destinos,productos_por_expedicion,peso_promedio_kg
2025-12-14,4,"[4, 6, 4, 6]",3940,3940,24,985.0,985.0
2025-12-15,6,"[5, 7, 8, 5, 7, 8]",9080,9080,42,1513.3333333333333,1513.3333333333333
2025-12-17,6,"[14, 15, 19, 26, 28, 29]",7740,7740,21,1290.0,1290.0
2025-12-18,8,"[16, 17, 18, 20, 21, 23, 25, 27]",12380,12380,27,1547.5,1547.5
2025-12-19,4,"[8, 22, 24, 30]",6930,6930,16,1732.5,1732.5
2025-12-20,8,"[15, 35, 36, 37, 38, 39, 40, 43]",13310,13310,27,1663.75,1663.75
2025-12-21,3,"[41, 42, 44]",5310,5310,15,1770.0,1770.0
2025-12-22,4,"[49, 50, 52, 56]",6330,6330,17,1582.5,1582.5
2025-12-23,5,"[51, 53, 54, 57, 58]",8760,8760,23,1752.0,1752.0
2025-12-24,3,"[55, 59, 67]",5050,5050,17,1683.3333333333333,1683.3333333333333
2025-12-25,1,[74],1450,1450,6,1450.0,1450.0
2025-12-26,1,[68],1680,1680,3,1680.0,1680.0
